id_person,DoB,PoB_ID,City,State,Country,Region,Group,Lat,Long
253407,1995,Ahome_Sinaloa_MX,Ahome,Sinaloa,MX,Central America,Latin America and the Caribbean,25.918532,-109.169569
72536,1976,Aibonito_PR,Aibonito,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
119763,1977,Aibonito_PR,Aibonito,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
134503,1976,Aibonito_PR,Aibonito,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
143110,1979,Aibonito_PR,Aibonito,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
151705,1949,Aibonito_PR,Aibonito,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
165705,1976,Aibonito_PR,Aibonito,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
169106,1989,Aibonito_PR,Aibonito,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
268275,1997,Aibonito_PR,Aibonito,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
292101,1998,Aibonito_PR,Aibonito,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
269535,1998,Alanje_PA,Alanje,,PA,Central America,Latin America and the Caribbean,8.400863,-82.557091
107451,1964,Aleman_SanPedrodeMacoris_DO,Aleman,San Pedro de Macoris,DO,Caribbean,Latin America and the Caribbean,18.502047,-69.363261
29542,1941,Almirante_BocasdelToro_PA,Almirante,Bocas del Toro,PA,Central America,Latin America and the Caribbean,9.291162,-82.392406
65091,1943,Almirante_BocasdelToro_PA,Almirante,Bocas del Toro,PA,Central America,Latin America and the Caribbean,9.291162,-82.392406
105196,1932,Almirante_BocasdelToro_PA,Almirante,Bocas del Toro,PA,Central America,Latin America and the Caribbean,9.291162,-82.392406
31697,1920,Alquizar_CU,Alquizar,,CU,Caribbean,Latin America and the Caribbean,22.806931,-82.585754
25241,1985,Altagracia_LaRomana_DO,Altagracia,La Romana,DO,Caribbean,Latin America and the Caribbean,18.497515,-68.976664
179696,1981,Altagracia_LaRomana_DO,Altagracia,La Romana,DO,Caribbean,Latin America and the Caribbean,18.497515,-68.976664
84000,1990,Altagracia_NuevaEsparta_VE,Altagracia,Nueva Esparta,VE,South America,Latin America and the Caribbean,11.091481,-63.950675
103387,1977,Altagracia_NuevaEsparta_VE,Altagracia,Nueva Esparta,VE,South America,Latin America and the Caribbean,11.091481,-63.950675
53275,1992,AltagraciadeOrituco_Guarico_VE,Altagracia de Orituco,Guarico,VE,South America,Latin America and the Caribbean,9.858176,-66.380036
15661,1973,Altamira_PuertoPlata_DO,Altamira,Puerto Plata,DO,Caribbean,Latin America and the Caribbean,19.676008,-70.834677
23387,1982,Altamira_PuertoPlata_DO,Altamira,Puerto Plata,DO,Caribbean,Latin America and the Caribbean,19.676008,-70.834677
30575,1983,Altamira_PuertoPlata_DO,Altamira,Puerto Plata,DO,Caribbean,Latin America and the Caribbean,19.676008,-70.834677
53533,1991,Altamira_PuertoPlata_DO,Altamira,Puerto Plata,DO,Caribbean,Latin America and the Caribbean,19.676008,-70.834677
69277,1992,Altamira_PuertoPlata_DO,Altamira,Puerto Plata,DO,Caribbean,Latin America and the Caribbean,19.676008,-70.834677
