PoB_ID,City,State,Country,Region,Group,Lat,Long
Aguascalientes_Aguascalientes_MX,Aguascalientes,Aguascalientes,MX,Central America,Latin America and the Caribbean,21.967551,-102.298338
Ahome_Sinaloa_MX,Ahome,Sinaloa,MX,Central America,Latin America and the Caribbean,25.918532,-109.169569
Ahoskie_NC_US,Ahoskie,NC,US,Northern America,Northern America,36.286822,-76.984681
Aibonito_PR,Aibonito,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
Aiea_HI_US,Aiea,HI,US,Northern America,Northern America,21.382222,-157.933611
Aiken_SC_US,Aiken,SC,US,Northern America,Northern America,33.559859,-81.721952
Aira-gun_Kagoshima_JP,Aira-gun,Kagoshima,JP,Eastern Asia,Asia,31.521587,130.547408
AizuWakamatsu_Fukushima_JP,Aizu Wakamatsu,Fukushima,JP,Eastern Asia,Asia,37.48043,139.942135
Ajax_ON_CA,Ajax,ON,CA,Northern America,Northern America,43.849214,-79.024178
Akron_OH_US,Akron,OH,US,Northern America,Northern America,41.083064,-81.518485
Alabaster_AL_US,Alabaster,AL,US,Northern America,Northern America,33.244281,-86.816377
Alachua_AL_US,Alachua,AL,US,Northern America,Northern America,29.789537,-82.487513
Alameda_CA_US,Alameda,CA,US,Northern America,Northern America,37.765207,-122.241635
Alamo_CA_US,Alamo,CA,US,Northern America,Northern America,37.850203,-122.032184
Alamogordo_NM_US,Alamogordo,NM,US,Northern America,Northern America,32.8998,-105.96034
Alanje_PA,Alanje,,PA,Central America,Latin America and the Caribbean,8.400863,-82.557091
Alba_MO_US,Alba,MO,US,Northern America,Northern America,37.238389,-94.417449
Alba_NM_US,Alba,NM,US,Northern America,Northern America,34.570817,-105.993007
Albany_CA_US,Albany,CA,US,Northern America,Northern America,37.88687,-122.297747
Albany_GA_US,Albany,GA,US,Northern America,Northern America,31.578206,-84.155681
Albany_NY_US,Albany,NY,US,Northern America,Northern America,42.651167,-73.754968
Albany_OR_US,Albany,OR,US,Northern America,Northern America,44.636507,-123.105932
Albemarle_NC_US,Albemarle,NC,US,Northern America,Northern America,35.350143,-80.200058
AlbemarleCounty_VA_US,Albemarle County,VA,US,Northern America,Northern America,37.123225,-78.492772
AlbertLea_MN_US,Albert Lea,MN,US,Northern America,Northern America,43.648013,-93.368266
Albertson_NY_US,Albertson,NY,US,Northern America,Northern America,40.773434,-73.643184
Albion_NY_US,Albion,NY,US,Northern America,Northern America,43.246487,-78.193516
Albuquerque_NM_US,Albuquerque,NM,US,Northern America,Northern America,35.084103,-106.650985
Albury_NewSouthWales_AU,Albury,New South Wales,AU,Australia and New Zealand,Oceania,-36.080477,146.91628
Alden_AL_US,Alden,AL,US,Northern America,Northern America,33.638994,-86.965273
Aleman_SanPedrodeMacoris_DO,Aleman,San Pedro de Macoris,DO,Caribbean,Latin America and the Caribbean,18.502047,-69.363261
AlexanderCity_AL_US,Alexander City,AL,US,Northern America,Northern America,32.944012,-85.953853
Alexandria_LA_US,Alexandria,LA,US,Northern America,Northern America,45.88524,-95.377538
Alexandria_MN_US,Alexandria,MN,US,Northern America,Northern America,45.884669,-95.377883
Alexandria_NH_US,Alexandria,NH,US,Northern America,Northern America,43.611462,-71.792858
Alexandria_VA_US,Alexandria,VA,US,Northern America,Northern America,38.80511,-77.047023
Algiers_LA_US,Algiers,LA,US,Northern America,Northern America,29.941347,-90.03759
Algona_IA_US,Algona,IA,US,Northern America,Northern America,43.069966,-94.233019
Algonac_MI_US,Algonac,MI,US,Northern America,Northern America,42.618368,-82.531018
Alhambra_CA_US,Alhambra,CA,US,Northern America,Northern America,34.092736,-118.126824
Alice_TX_US,Alice,TX,US,Northern America,Northern America,27.752249,-98.069725
AliceSprings_NorthernTerritory_AU,Alice Springs,Northern Territory,AU,Australia and New Zealand,Oceania,-23.698388,133.881289
Aliceville_AL_US,Aliceville,AL,US,Northern America,Northern America,33.129568,-88.151417
Aliquippa_PA_US,Aliquippa,PA,US,Northern America,Northern America,40.618207,-80.250883
AlisoViejo_CA_US,Aliso Viejo,CA,US,Northern America,Northern America,33.576138,-117.725812
Alkmaar_NorthHolland_NL,Alkmaar,North Holland,NL,Western Europe,Europe,52.633736,4.740203
Allan_TX_US,Allan,TX,US,Northern America,Northern America,31.816038,-99.512099
Allen_MI_US,Allen,MI,US,Northern America,Northern America,32.001626,-91.002878
Allen_TX_US,Allen,TX,US,Northern America,Northern America,33.103174,-96.67055
AllenCounty_OH_US,Allen County,OH,US,Northern America,Northern America,40.225357,-82.688139
AllenPark_MI_US,Allen Park,MI,US,Northern America,Northern America,42.257539,-83.211037
Allentown_PA_US,Allentown,PA,US,Northern America,Northern America,40.602206,-75.471279
Alma_MI_US,Alma,MI,US,Northern America,Northern America,43.37892,-84.659727
Almere_Flevoland_NL,Almere,Flevoland,NL,Western Europe,Europe,52.441759,5.209315
Almirante_BocasdelToro_PA,Almirante,Bocas del Toro,PA,Central America,Latin America and the Caribbean,9.291162,-82.392406
Alpena_MI_US,Alpena,MI,US,Northern America,Northern America,45.061679,-83.432753
Alpharetta_GA_US,Alpharetta,GA,US,Northern America,Northern America,34.070958,-84.274733
AlphenaandenRijn_SouthHolland_NL,Alphen aan den Rijn,South Holland,NL,Western Europe,Europe,52.134337,4.656136
Alpine_CA_US,Alpine,CA,US,Northern America,Northern America,34.539158,-118.106461
Alpine_TX_US,Alpine,TX,US,Northern America,Northern America,30.35738,-103.660937
Alquizar_CU,Alquizar,,CU,Caribbean,Latin America and the Caribbean,22.806931,-82.585754
Altadena_CA_US,Altadena,CA,US,Northern America,Northern America,34.186316,-118.135233
Altagracia_LaRomana_DO,Altagracia,La Romana,DO,Caribbean,Latin America and the Caribbean,18.497515,-68.976664
Altagracia_NuevaEsparta_VE,Altagracia,Nueva Esparta,VE,South America,Latin America and the Caribbean,11.091481,-63.950675
AltagraciadeOrituco_Guarico_VE,Altagracia de Orituco,Guarico,VE,South America,Latin America and the Caribbean,9.858176,-66.380036
AltaLoma_CA_US,Alta Loma,CA,US,Northern America,Northern America,34.122887,-117.598577
